12;12;1;NULL;4/5/2020 11:42;4/5/2020 11:42;0;ABLANDA CARNES SANTA ELENAx20GR;ABLANDA CARNES SANTA ELENAx20GR;NULL;;;70;546.2184874;650;546.2184874;650;HT;NULL;NULL;19;0;0;0;0;0;0;0;1;1;0;0;0;0;50;NULL;12345678911;6;;;;;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;100;;NULL;NULL;1;;NULL;0;NULL;NULL;NULL;80;NULL;0;NULL
13;13;1;NULL;4/5/2020 11:42;4/5/2020 11:42;0;ABRASIVO BOM BRIL REGULARx2;ABRASIVO BOM BRIL REGULARx2;NULL;;;70;1470.588235;1750;1470.588235;1750;HT;NULL;NULL;19;0;0;0;0;0;0;0;1;1;0;0;0;0;50;NULL;12345678912;6;;;;;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;100;;NULL;NULL;1;;NULL;0;NULL;NULL;NULL;80;NULL;0;NULL
14;14;1;NULL;4/5/2020 11:42;4/5/2020 11:42;0;AC. CHEFFx3000ML;AC. CHEFFx3000ML;NULL;;;70;9831.932773;11700;9831.932773;11700;HT;NULL;NULL;19;0;0;0;0;0;0;0;1;1;0;0;0;0;50;NULL;12345678913;6;;;;;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;100;;NULL;NULL;1;;NULL;0;NULL;NULL;NULL;80;NULL;0;NULL
15;15;1;NULL;4/5/2020 11:42;4/5/2020 11:42;0;AC. DIANA VITAMINASx450ML;AC. DIANA VITAMINASx450ML;NULL;;;70;2521.008403;3000;2521.008403;3000;HT;NULL;NULL;19;0;0;0;0;0;0;0;1;1;0;0;0;0;50;NULL;12345678914;6;;;;;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;100;;NULL;NULL;1;;NULL;0;NULL;NULL;NULL;80;NULL;0;NULL
16;16;1;NULL;4/5/2020 11:42;4/5/2020 11:42;0;AC. DIANA VITAMINASx900ML;AC. DIANA VITAMINASx900ML;NULL;;;70;5294.117647;6300;5294.117647;6300;HT;NULL;NULL;19;0;0;0;0;0;0;0;1;1;0;0;0;0;50;NULL;12345678915;6;;;;;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;100;;NULL;NULL;1;;NULL;0;NULL;NULL;NULL;80;NULL;0;NULL
17;17;1;NULL;4/5/2020 11:42;4/5/2020 11:42;0;AC. ECONOMICO BUENA SOYAx3000ML;AC. ECONOMICO BUENA SOYAx3000ML;NULL;;;70;11092.43697;13200;11092.43697;13200;HT;NULL;NULL;19;0;0;0;0;0;0;0;1;1;0;0;0;0;50;NULL;12345678916;6;;;;;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;100;;NULL;NULL;1;;NULL;0;NULL;NULL;NULL;80;NULL;0;NULL
18;18;1;NULL;4/5/2020 11:42;4/5/2020 11:42;0;AC. ECONOMICO EL FRITONx3000ML;AC. ECONOMICO EL FRITONx3000ML;NULL;;;70;11672.26891;13890;11672.26891;13890;HT;NULL;NULL;19;0;0;0;0;0;0;0;1;1;0;0;0;0;50;NULL;12345678917;6;;;;;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;100;;NULL;NULL;1;;NULL;0;NULL;NULL;NULL;80;NULL;0;NULL
19;19;1;NULL;4/5/2020 11:42;4/5/2020 11:42;0;AC. ECONOMICOx160MLx48UND;AC. ECONOMICOx160MLx48UND;NULL;;;70;0;0;0;0;HT;NULL;NULL;19;0;0;0;0;0;0;0;1;1;0;0;0;0;50;NULL;12345678918;6;;;;;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;100;;NULL;NULL;1;;NULL;0;NULL;NULL;NULL;80;NULL;0;NULL
20;20;1;NULL;4/5/2020 11:42;4/5/2020 11:42;0;AC. ECONOMICOx350MLx24UND;AC. ECONOMICOx350MLx24UND;NULL;;;70;2100.840336;2500;2100.840336;2500;HT;NULL;NULL;19;0;0;0;0;0;0;0;1;1;0;0;0;0;50;NULL;12345678919;6;;;;;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;100;;NULL;NULL;1;;NULL;0;NULL;NULL;NULL;80;NULL;0;NULL
21;21;1;NULL;4/5/2020 11:42;4/5/2020 11:42;0;AC. ECONOMICOx60MLx48UND;AC. ECONOMICOx60MLx48UND;NULL;;;70;0;0;0;0;HT;NULL;NULL;19;0;0;0;0;0;0;0;1;1;0;0;0;0;50;NULL;12345678920;6;;;;;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;100;;NULL;NULL;1;;NULL;0;NULL;NULL;NULL;80;NULL;0;NULL
